Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;Advantage 80 gato - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
;Seringa 2ml - com agulha *f;Consumíveis;0.00;0;0
;Agalactivax - frasco 100ml *f;Injectáveis;0.00;0;0
;Upcard 7,5mg - Torasemida - Blister De 10 Comprimidos;Medicamentos;2.00;26,54;26,54
;WeCysto Plus 50ml - Embalagem;Suplemento;18.00;119,52;119,52
;Instinct Dog Snacks N&T Cubes Chicken 50g;Canídeos - Ração - Húmida;0.00;0;0
;Ownat Cat Classic Sterilized 4Kg;Felídeos - Ração - Seca;3.00;30,93;30,93
;Feluro 60ml - uma embalagem;Suplemento;0.00;0;0
;SP CPD-M Puppy Medium Breed 12Kg;Canídeos - Ração - Seca;0.00;0;0
;TOW CÃO ADULTO SALMÃO 12,2KG - Pacific Stream;Canídeos - Ração - Seca;0.00;0;0
;Clavusan 500mg+125mg (amoxicilina + ácido clavulânico) - comprimido;Medicamentos;351.00;308,88;308,88
;Fato pós-cirurgia cão Tm10 Macho Dry - Azul;Bem-estar Animal;2.00;0;0
;Instinct Dog Snacks N&T Cubes Beef 50g;Canídeos - Ração - Húmida;0.00;0;0
;Fato pós-cirurgia cão Tm16 Macho Dry - Azul;Bem-estar Animal;2.00;82,1;82,1
;Pharmasin - frasco 100ml *f;Injectáveis;0.00;0;0
;Cerenia 160mg - comprimido;Medicamentos;20.00;110;110
;HF Optima Coelho;Outros;0.00;0;0
;Fato pós-cirurgia cão Tm07 Macho/Fêmea - Rosa;Bem-estar Animal;0.00;0;0
;Dialix bladder control 60 chews - embalagem;Suplemento;10.00;277,6;277,6
;RC Dog Satiety Weight Management - 12Kg;Canídeos - Ração - Seca;0.00;0;0
;Algália para gato 1.0 (c/ estilete);Consumíveis;12.00;0;0
;Capstar 57mg - comprimido;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;6.00;20,76;20,76
;Fato pós-cirurgia cão Tm06 Macho/Fêmea - Rosa;Bem-estar Animal;0.00;0;0
